angular_speed,complime,signal
0,-0.30122229,-0.31123984
0,-0.29338607,-0.33908412
0,-0.18983635,-0.36776263
0,-0.048441175,-0.38792902
0,0.018612435,-0.4026953
0,0.12364403,-0.4188419
0,0.19468307,-0.43424734
0,0.25464168,-0.45586887
0,0.35243717,-0.47759792
0,0.44167009,-0.50282341
0,0.52509558,-0.52546042
0,0.67982614,-0.53990489
0,0.95851058,-0.54710257
0,1.2760856,-0.5399968
0,1.6625677,-0.51506352
0,1.9385982,-0.48897228
0,2.1904471,-0.45453823
0,2.2935858,-0.42371184
0,2.2566547,-0.40006396
0,2.1678963,-0.38455099
0,2.0502579,-0.37668708
0,1.9046551,-0.36881855
0,1.7191511,-0.37044528
0,1.5970534,-0.37083873
0,1.5086869,-0.37544441
0,1.4443982,-0.37818161
0,1.4181834,-0.37489402
0,1.3559235,-0.36361861
0,1.2656076,-0.36163014
0,1.1965342,-0.35720167
0,1.1648272,-0.36185527
0,1.0757999,-0.36249214
0,1.0827881,-0.36026415
0,1.0790511,-0.35898051
0,1.0425295,-0.35384646
0,1.0650675,-0.35018095
0,1.1050327,-0.34297356
0,1.148734,-0.33544835
0,1.1136012,-0.32529256
0,1.0240581,-0.31909287
0,0.89682144,-0.32165125
0,0.7249828,-0.33087462
0,0.62390834,-0.34488282
0,0.52633923,-0.36116937
0,0.52800065,-0.37548664
0,0.55995011,-0.38437772
0,0.61245078,-0.38988966
0,0.65386808,-0.39611748
0,0.70457476,-0.4001587
0,0.67852515,-0.40115893
0,0.7500509,-0.40615034
0,0.77754527,-0.40627238
0,0.87193799,-0.39973408
0,0.95501786,-0.39339951
0,1.0209136,-0.38273904
0,1.0233957,-0.37886909
0,0.99077892,-0.37234047
0,1.0138444,-0.36725548
0,1.0207787,-0.36835116
0,1.0705078,-0.3631919
0,1.1882762,-0.35170865
0,1.3172579,-0.33079267
0,1.4217069,-0.30936119
0,1.4849688,-0.28236526
0,1.4758229,-0.25207782
0,1.4342748,-0.2342542
0,1.3197386,-0.21994475
0,1.1892737,-0.21522444
0,0.98759395,-0.21419658
0,0.83186942,-0.21532243
0,0.66329813,-0.22476344
0,0.55163121,-0.23447549
0,0.37717587,-0.2433293
0,0.17676999,-0.2612195
0,0.028936643,-0.27382231
0,-0.063783258,-0.29687953
0,-0.17543502,-0.31919098
0,-0.15189624,-0.34127417
0,-0.082755625,-0.36305991
0,-0.057096295,-0.3841393
0,-0.12121737,-0.40305376
0,-0.11063485,-0.42724097
0,-0.16608381,-0.4577432
0,-0.28205866,-0.49542528
0,-0.29384339,-0.53526497
0,-0.31256765,-0.5768733
0,-0.16838492,-0.62201321
0,0.002077978,-0.65164435
0,0.37610692,-0.67480129
0,0.65222353,-0.66749191
0,0.98220927,-0.6731205
0,1.2245975,-0.66550463
0,1.4178504,-0.66491592
0,1.5276467,-0.65560526
0,1.553944,-0.66049349
0,1.6202613,-0.66118532
0,1.6798339,-0.66093725
0,1.8313031,-0.66429943
0,2.1297343,-0.65227354
0,2.4655457,-0.61625278
0,2.6966493,-0.57599443
0,2.8934922,-0.53668225
0,2.9190764,-0.49551082
0,2.9400542,-0.46038625
0,2.8590138,-0.42780527
0,2.738728,-0.40267155
0,2.6194401,-0.37767935
0,2.4660559,-0.35442027
0,2.2894421,-0.33336183
0,2.1579928,-0.31588611
0,2.0015414,-0.2927278
0,1.922345,-0.27780399
0,1.8325716,-0.25500333
0,1.6437968,-0.22913431
0,1.4946659,-0.21243382
0,1.2779554,-0.1927892
0,1.0752109,-0.18110594
0,0.84881461,-0.1720144
0,0.60076338,-0.17223115
0,0.35432717,-0.18131448
0,0.15910864,-0.19103737
0,-0.04542679,-0.21101898
0,-0.20907846,-0.23351593
0,-0.34468582,-0.25207248
0,-0.47638169,-0.27735162
0,-0.56350195,-0.30697241
0,-0.65032989,-0.3359046
0,-0.77916086,-0.37637636
0,-0.81157708,-0.41376042
0,-1.0300326,-0.46603072
0,-1.1901621,-0.52786601
0,-1.3567129,-0.59779078
0,-1.4543884,-0.66888314
0,-1.3104064,-0.75325131
0,-0.87018967,-0.79255509
0,-0.16820611,-0.81405109
0,0.58153921,-0.79864788
0,1.1812971,-0.76736325
0,1.7428701,-0.73419559
0,2.3159344,-0.680866
0,2.8215489,-0.60872966
0,3.2099929,-0.53996617
0,3.4384723,-0.47057632
0,3.5597374,-0.40027389
0,3.5258484,-0.33300832
0,3.0441794,-0.27259713
0,2.6644793,-0.21781051
0,2.2806327,-0.20033407
0,1.8262688,-0.18373452
0,1.4582837,-0.17979291
0,1.0424122,-0.18415342
0,0.75179243,-0.18505166
0,0.4446021,-0.1929009
0,0.13911186,-0.19131856
0,-0.11057434,-0.20786357
0,-0.30027682,-0.22787395
0,-0.52448785,-0.25297797
0,-0.61301792,-0.27843344
0,-0.66486567,-0.30353335
0,-0.64945561,-0.32719076
0,-0.66552758,-0.34988812
0,-0.80052286,-0.37689275
0,-0.84772158,-0.41908768
0,-0.77872992,-0.46029666
0,-0.73995733,-0.49963388
0,-0.65409642,-0.53154498
0,-0.41448849,-0.55765116
0,-0.17849717,-0.57609177
0,0.044728376,-0.59726858
0,0.28506604,-0.61485082
0,0.51495767,-0.61857158
0,0.84946245,-0.61289662
0,1.1541373,-0.60316658
0,1.3514249,-0.58687133
0,1.3561187,-0.57959127
0,1.0972493,-0.59876937
0,0.95091826,-0.62776631
0,0.75848126,-0.66727465
0,0.67762953,-0.71898037
0,0.68679607,-0.7648508
0,0.81463432,-0.80014896
